feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
0,28.0,0.008533255,False,27347.324,-0.0324014,0.027471004,0.032251265,-0.037131213,0.028745936,-0.03478289,-0.03513184,0.016534261,0.10717146
1,9.0,0.002742832,False,0.0,-0.032472577,0.030649396,0.034686893,-0.04068447,0.029956512,-0.03579078,-0.03575938,0.020030083,0.109450735
2,2.0,0.00060951826,False,270.15704,-0.032568287,0.03220746,0.034356065,-0.038741417,0.032356735,-0.03545202,-0.03540682,0.020289136,0.107635565
3,8.0,0.002438073,False,12211.82,-0.03316594,0.03151596,0.035282757,-0.040675063,0.03441759,-0.035809617,-0.03586787,0.019173397,0.107965134
4,33.0,0.010057052,False,734.10706,-0.03557492,0.028214904,0.035287607,-0.03685744,0.028146975,-0.036491565,-0.03781515,0.015009955,0.10621408
5,9581.0,2.919897,False,2.1807536e+07,0.24331775,-0.10945675,-0.18620476,0.24952972,-0.09951149,0.314683,0.23597682,0.18153305,0.046694107
6,3.0,0.0009142774,False,0.0,-0.033949345,0.031651214,0.036107812,-0.043870542,0.031674605,-0.03631458,-0.036618985,0.02009375,0.107541874
7,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
8,59.0,0.017980788,False,411.6088,-0.039193466,0.035327256,0.040541865,-0.042648274,0.0360508,-0.039708048,-0.041239396,0.026493564,0.10674212
9,1.0,0.00030475913,False,0.0,-0.033255346,0.031611748,0.03549047,-0.0395593,0.03185777,-0.036030494,-0.03639862,0.020015132,0.10731245
10,1.0,0.00030475913,False,0.0,-0.03444,0.032903805,0.036934447,-0.0415187,0.031853452,-0.03483406,-0.037555605,0.01968086,0.10751069
11,4.0,0.0012190365,False,3.357853,-0.033845104,0.032478612,0.035087917,-0.040841684,0.031503458,-0.0375021,-0.037570573,0.017816601,0.10770333
12,12726.0,3.8783648,False,10929.166,0.43831238,-0.32944345,-0.38565215,0.390969,-0.26632452,0.44375804,0.47925434,0.017815454,0.012534525
13,11366.0,3.4638922,False,177702.55,-0.10220015,0.21922433,0.15189403,0.05479135,0.219985,0.015071676,-0.08587899,0.28760743,-0.015789337
14,3.0,0.0009142774,False,42.61376,-0.03319947,0.031234477,0.034857843,-0.039990142,0.030886149,-0.03468917,-0.03669959,0.019856293,0.108116426
15,45.0,0.01371416,False,219.17116,-0.041261807,0.039099857,0.043231122,-0.049378067,0.036798712,-0.04341755,-0.043673612,0.023950586,0.105064064
